iter	Passed	Remaining
469	703	793
470	704	791
471	706	789
472	707	787
473	708	785
474	708	783
475	709	781
476	710	779
477	711	777
478	713	775
479	714	773
480	715	772
481	716	770
482	718	768
483	719	767
484	720	765
485	721	763
486	723	761
487	724	759
488	725	758
489	726	756
490	728	754
491	729	753
492	730	751
493	731	749
494	732	747
495	733	745
496	734	743
497	735	741
498	736	739
499	738	738
500	739	736
501	740	734
502	741	732
503	742	730
504	743	729
505	745	727
506	746	725
507	747	723
508	748	721
509	749	719
510	751	718
511	752	717
512	753	715
513	754	713
514	755	711
515	757	710
516	758	708
517	759	706
518	760	704
519	761	702
520	762	700
521	763	699
522	764	697
523	766	695
524	767	694
525	768	692
526	769	690
527	770	688
528	771	687
529	772	685
530	774	683
531	775	682
532	776	680
533	777	678
534	778	676
535	779	674
536	780	672
537	781	671
538	782	669
539	783	667
540	784	665
541	785	663
542	786	662
543	788	660
544	789	659
545	790	657
546	791	655
547	792	653
548	794	652
549	795	650
550	796	648
551	797	647
552	799	645
553	800	644
554	801	642
555	802	640
556	803	639
557	804	637
558	806	636
559	807	634
560	809	633
561	810	631
562	811	629
563	812	628
564	813	626
565	814	624
566	816	623
567	817	621
568	818	619
569	819	618
570	820	616
571	822	615
572	823	613
573	824	611
574	825	610
575	826	608
576	827	606
577	828	605
578	829	603
579	830	601
580	832	600
581	833	598
582	834	597
583	835	595
584	836	593
585	838	592
586	839	590
587	840	588
588	841	587
589	842	585
590	843	583
591	844	582
592	845	580
593	846	578
594	847	577
595	848	575
596	850	573
597	851	572
598	852	570
599	853	569
600	854	567
601	855	565
602	856	563
603	857	562
604	858	560
605	860	559
606	861	557
607	862	556
608	863	554
609	864	552
610	865	550
611	866	549
612	866	547
613	867	545
614	868	543
615	869	542
616	870	540
617	872	539
618	873	537
619	874	535
620	875	534
621	876	532
622	877	530
623	878	529
624	879	527
625	880	525
626	880	524
627	881	522
628	882	520
629	884	519
630	885	517
631	886	516
632	887	514
633	888	513
634	890	511
635	891	509
636	891	508
637	892	506
638	893	504
639	894	503
640	895	501
641	897	500
642	898	498
643	899	497
644	900	495
645	901	493
646	902	492
647	903	490
648	904	489
649	905	487
650	906	485
651	907	484
652	908	482
653	909	480
654	910	479
655	911	477
656	912	476
657	913	474
658	915	473
659	916	472
660	917	470
661	918	468
662	919	467
663	920	465
664	921	464
665	922	462
666	923	461
667	924	459
668	925	457
669	926	456
670	927	454
671	929	453
672	930	451
673	931	450
674	932	448
675	933	447
676	934	445
677	935	444
678	936	442
679	937	441
680	938	439
681	939	438
682	941	436
683	942	435
684	943	433
685	944	432
686	945	430
687	946	429
688	948	427
689	949	426
690	950	424
691	951	423
692	952	422
693	953	420
694	955	419
695	956	417
696	957	416
697	958	414
698	959	413
699	960	411
700	961	410
701	962	408
702	963	407
703	964	405
704	965	403
705	966	402
706	967	400
707	968	399
708	969	397
709	970	396
710	971	394
711	972	393
712	973	391
713	974	390
714	975	388
715	976	387
716	977	385
717	978	384
718	979	382
719	980	381
720	981	379
721	982	378
722	983	376
723	984	375
724	985	373
725	986	372
726	987	371
727	989	369
728	990	368
729	991	366
730	992	365
731	993	363
732	995	362
733	995	360
734	997	359
735	998	357
736	999	356
737	1000	355
738	1001	353
739	1002	352
740	1003	350
741	1004	349
742	1005	347
743	1007	346
744	1008	345
745	1009	343
746	1010	342
747	1011	340
748	1012	339
749	1013	337
750	1014	336
751	1015	334
752	1016	333
753	1017	331
754	1018	330
755	1019	329
756	1020	327
757	1021	326
758	1023	324
759	1024	323
760	1025	322
761	1026	320
762	1027	319
763	1028	317
764	1029	316
765	1031	314
766	1032	313
767	1032	312
768	1034	310
769	1035	309
770	1036	307
771	1037	306
772	1038	304
773	1039	303
774	1040	302
775	1041	300
776	1042	299
777	1044	297
778	1045	296
779	1046	295
780	1047	293
781	1048	292
782	1049	290
783	1050	289
784	1051	287
785	1052	286
786	1053	285
787	1054	283
788	1055	282
789	1056	280
790	1057	279
791	1058	278
792	1059	276
793	1060	275
794	1061	273
795	1062	272
796	1063	270
797	1064	269
798	1065	268
799	1066	266
800	1067	265
801	1068	263
802	1070	262
803	1071	261
804	1072	259
805	1073	258
806	1075	257
807	1076	255
808	1077	254
809	1078	253
810	1079	251
811	1080	250
812	1082	248
813	1083	247
814	1084	246
815	1085	244
816	1086	243
817	1087	242
818	1088	240
819	1089	239
820	1091	237
821	1092	236
822	1093	235
823	1094	233
824	1096	232
825	1097	231
826	1098	229
827	1100	228
828	1101	227
829	1102	225
830	1103	224
831	1105	223
832	1106	221
833	1107	220
834	1108	219
835	1110	217
836	1111	216
837	1112	215
838	1113	213
839	1114	212
840	1115	210
841	1117	209
842	1118	208
843	1119	206
844	1121	205
845	1122	204
846	1123	202
847	1124	201
848	1125	200
849	1127	198
850	1128	197
851	1129	196
852	1130	194
853	1131	193
854	1132	192
855	1134	190
856	1135	189
857	1136	188
858	1137	186
859	1138	185
860	1139	183
861	1140	182
862	1142	181
863	1143	179
864	1144	178
865	1145	177
866	1147	175
867	1148	174
868	1149	173
869	1150	171
870	1152	170
871	1153	169
872	1154	167
873	1155	166
874	1156	165
875	1158	163
876	1159	162
877	1160	161
878	1162	159
879	1163	158
880	1164	157
881	1166	155
882	1167	154
883	1168	153
884	1169	152
885	1170	150
886	1172	149
887	1173	148
888	1174	146
889	1176	145
890	1177	144
891	1178	142
892	1180	141
893	1181	140
894	1182	138
895	1184	137
896	1185	136
897	1187	134
898	1188	133
899	1189	132
900	1191	130
901	1192	129
902	1193	128
903	1194	126
904	1195	125
905	1196	124
906	1198	122
907	1199	121
908	1200	120
909	1201	118
910	1202	117
911	1203	116
912	1204	114
913	1206	113
914	1207	112
915	1208	110
916	1210	109
917	1211	108
918	1213	106
919	1214	105
920	1215	104
921	1217	102
922	1218	101
923	1220	100
924	1221	99
925	1222	97
926	1223	96
927	1225	95
928	1226	93
929	1228	92
930	1229	91
931	1230	89
932	1232	88
933	1233	87
934	1234	85
935	1235	84
936	1236	83
937	1238	81
938	1239	80
939	1240	79
940	1242	77
941	1243	76
942	1244	75
943	1246	73
944	1247	72
945	1248	71
946	1249	69
947	1250	68
948	1251	67
949	1252	65
950	1253	64
951	1255	63
952	1256	61
953	1257	60
954	1259	59
955	1260	58
956	1261	56
957	1262	55
958	1263	54
959	1264	52
960	1265	51
961	1266	50
962	1267	48
963	1268	47
964	1270	46
965	1271	44
966	1272	43
967	1273	42
968	1274	40
969	1275	39
970	1276	38
971	1277	36
972	1278	35
973	1279	34
974	1281	32
975	1282	31
976	1283	30
977	1284	28
978	1285	27
979	1286	26
980	1288	24
981	1289	23
982	1290	22
983	1291	20
984	1292	19
985	1293	18
986	1294	17
987	1296	15
988	1297	14
989	1298	13
990	1299	11
991	1300	10
992	1301	9
993	1302	7
994	1303	6
995	1304	5
996	1305	3
997	1306	2
998	1308	1
999	1309	0
